sku,name,category_id,category_name,stock,b2b_price,site_price_est,sales_count,oem,has_image,image_count,path,source_id
ESC 1760-1,Mekanik Fren Cırcırı 7 Delik 10 Kanal (EUR),mekanik-fren-circiri,Mekanik Fren Cırcırı,600,943.0,1244.76,0.0,517465130-517465130-517465220-100001760-24490-A3450,False,0,/mekanik-fren-circiri-7-delik-10-kanal-eur-p32165,32165
ESB 1315 10,BİJON ROR DORSE-95 MM,bijon,Bijon,155,190.4051386487,251.33,0.0,21022167,False,0,/bijon-ror-dorse-95-mm-p32126,32126
ESC 79458,RENAULT OTOMOTİK FREN CIRCIRI 3717 GÖVDE,otomatik-fren-circiri,Otomatik Fren Cırcırı,25,1265.0,1669.8,0.0,"14632, 79308, 79075, 79308, 5010260115, 79308, 4W3055",False,0,/renault-otomotik-fren-circiri-3717-govde-p31537,31537
ESC 79445,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,29,1265.0,1669.8,0.0,"5010098861, 50010098861, 14634, 79295, 72799, 05010098861, 4W2925, KB2925",False,0,/otomatik-fren-circiri-p31533,31533
ESC 79444,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,14,1265.0,1669.8,0.0,"5010098860, 50010098860, 14633, 79294, 72798, 05010098860, 4W2920, 4W2920, KB2920",False,0,/otomatik-fren-circiri-p31532,31532
ESD 130 09,DİSK ISUZU 25 NOVO CITILIFE OTOBÜS (387.061.2600.51),fren-diski,Fren Diski,34,2825.91733875,3730.21,0.0,387.061.2600.51,True,2,/disk-isuzu-25-novo-citilife-otobus-387-061-2600-51-p29805,29805
ESD 220 03,KRONE 430 GÖBEKLİ DİSK,fren-diski,Fren Diski,138,4284.9,5656.07,0.0,550027458,True,1,/krone-430-gobekli-disk-p29216,29216
ESB 145 10,ATEGO Y.M. ARKA DISK BIJONU,disk-bijonu-civatasi,Disk Bijonu/Civatası,630,142.0342,187.49,0.0,,True,4,/atego-y-m-arka-disk-bijonu-p27174,27174
ESB 4000 12,KALİPER DİSK CİVATASI,disk-bijonu-civatasi,Disk Bijonu/Civatası,3890,66.78,88.15,40.0,31796200,True,3,/kaliper-disk-civatasi-p19745,19745
ESB 4000 15,YILDIZ BAŞLI SAF Y.M. DİSK CİVATASI,disk-bijonu-civatasi,Disk Bijonu/Civatası,3108,83.4,110.09,0.0,,True,3,/yildiz-basli-saf-y-m-disk-civatasi-p19726,19726
ESB 242 10,TGS Man Ön Disk Bijonu,disk-bijonu-civatasi,Disk Bijonu/Civatası,240,155.7721,205.62,50.0,,True,3,/tgs-man-on-disk-bijonu-p19713,19713
ESD 040 31,Fren Diski,fren-diski,Fren Diski,49,4761.0,6284.52,0.0,5010598309 - 20763234,True,2,/fren-diski-p19696,19696
ESD 040 30,Fren Diski,fren-diski,Fren Diski,32,4562.625,6022.66,0.0,20700508 - 5010598308,True,2,/fren-diski-p19695,19695
ESC 80168,MERSEDES AROX öN CIRCIR SOL,fren-circiri,Fren Cırcırı,19,1265.0,1669.8,0.0,,True,4,/mersedes-arox-on-circir-sol-p19228,19228
ESC 80167,MERSEDES AROX ÖN CIRCIR SAĞ,fren-circiri,Fren Cırcırı,25,1265.0,1669.8,0.0,,True,4,/mersedes-arox-on-circir-sag-p19227,19227
ESB 919 10,BİJON SCANIA ARKA ÖZEL 115 MM,bijon,Bijon,280,182.12205,240.4,0.0,1847739,True,4,/bijon-scania-arka-ozel-115-mm-p17084,17084
ESB 185 10,Axor-Actros Yeni Model Arka 120 mm,bijon,Bijon,120,168.18175,222.0,0.0,,True,3,/axor-actros-yeni-model-arka-120-mm-p17035,17035
ESK 010 45,Fren Kampanası,fren-kampanasi,Fren Kampanası,118,4669.707825,6164.01,0.0,3014210801,True,2,/fren-kampanasi-p16520,16520
ESC 79167,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,15,1265.0,1669.8,0.0,72318-44092-42795-2795-5000791212,True,4,/otomatik-fren-circiri-p16327,16327
ESB 670 10,Bijon Dps,bijon,Bijon,60,166.0945,219.24,0.0,42117459,True,4,/bijon-dps-p16291,16291
ESB 784 11-L,BİJON MITSUBISHI 304 ARKA SOL,bijon,Bijon,1086,153.290975,202.34,0.0,,True,4,/bijon-mitsubishi-304-arka-sol-p16114,16114
ESB 784 10-R,BİJON MITSUBISHI 304 ARKA SAĞ,bijon,Bijon,1586,153.290975,202.34,0.0,,True,4,/bijon-mitsubishi-304-arka-sag-p16113,16113
ESK 230 28,Fren Kampanası,fren-kampanasi,Fren Kampanası,12,5231.281,6905.29,0.0,310977340,True,2,/fren-kampanasi-p15965,15965
ESB 4000 13,AXOR DİSK CİVATASI YILDIZ BAŞLI,disk-bijonu-civatasi,Disk Bijonu/Civatası,2036,66.78,88.15,40.0,,True,3,/axor-disk-civatasi-yildiz-basli-p15809,15809
ESK 290 03,Fren Kampanası,fren-kampanasi,Fren Kampanası,4,4115.8845,5432.97,0.0,1064010801-1064012801,True,2,/fren-kampanasi-p15803,15803
ESC 70953,EKERSAN DODGE AKILLI CIRCIR SOL,fren-circiri,Fren Cırcırı,1,1265.0,1669.8,0.0,4175020800-44015520-21229251-21222874-41120-16104-9251-96-1120-52305,True,4,/ekersan-dodge-akilli-circir-sol-p15776,15776
ESC 72675,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,37,1265.0,1669.8,0.0,42115-2115-72109-281090-159558,True,4,/otomatik-fren-circiri-p15752,15752
ESC 72209,MERCEDES V-8 OTOBÜS ÖN CIRCIR R-L,fren-circiri,Fren Cırcırı,30,1265.0,1669.8,0.0,3574200538-72059-42040-14707-14708-2040-4731188,True,4,/mercedes-v-8-otobus-on-circir-r-l-p15725,15725
ESB 3100 10,Yte Dingil (Öztreyler),bijon,Bijon,670,166.0903451708,219.24,0.0,Yte Dingil (Öztreyler),True,4,/yte-dingil-oztreyler-p15575,15575
ESB 612 10,Bijon Dps,bijon,Bijon,344,112.2541643223,148.18,0.0,7168333,True,4,/bijon-dps-p15517,15517
ESB 425 10,Cargo 115 mm Frezeli,bijon,Bijon,840,182.1266543597,240.41,0.0,,True,4,/cargo-115-mm-frezeli-p15504,15504
ESB 112 10-1,BİJON MERCEDES ARKA-105 MM DPS Lİ,bijon,Bijon,200,148.3845,195.87,0.0,3554010071-3814010671,True,2,/bijon-mercedes-arka-105-mm-dps-li-p15446,15446
ESK 160 62,KAMPANA SERTEL T-3,fren-kampanasi,Fren Kampanası,11,4336.161687,5723.73,0.0,Fren Kampanası,True,2,/kampana-sertel-t-3-p15430,15430
ESK 160 57,KAMPANA ROR DORSE,fren-kampanasi,Fren Kampanası,36,5225.630751,6897.83,0.0,21018986-6041810-21018986V,True,2,/kampana-ror-dorse-p15421,15421
ESK 140 05,KAMPANA RENAULT KERAX,fren-kampanasi,Fren Kampanası,49,5540.6510445,7313.66,0.0,5010260663,True,2,/kampana-renault-kerax-p15392,15392
ESK 140 04,Fren Kampanası,fren-kampanasi,Fren Kampanası,204,5355.3449895,7069.06,0.0,189923,True,2,/fren-kampanasi-p15391,15391
ESK 080 08,KAMPANA MITSUBISHI 304-515 ARKA,fren-kampanasi,Fren Kampanası,14,2112.489027,2788.49,0.0,MB 060500,True,1,/kampana-mitsubishi-304-515-arka-p15376,15376
ESD 110 02,VOLVO KÜÇÜK FH 12 (410 ÇAP) MAÇASIZ DOLU FREN DİSKİ,fren-diski,Fren Diski,44,3689.275095,4869.84,0.0,"8551042, 3092710",True,1,/volvo-kucuk-fh-12-410-cap-macasiz-dolu-fren-diski-p15296,15296
ESD 020 20,DİSK MAN TGA ÖN MAÇASIZ,fren-diski,Fren Diski,9,4669.712586,6164.02,0.0,Fren Diski,True,1,/disk-man-tga-on-macasiz-p15253,15253
ESD 020 17,Fren Diski,fren-diski,Fren Diski,50,3937.75366875,5197.83,0.0,"81508030027, 81508030020, 81508030057, II39290F",True,1,/fren-diski-p15252,15252
ESD 020 06,DİSK TGA MAN ARKA DOLU,fren-diski,Fren Diski,15,4780.896219,6310.78,0.0,Fren Diski,True,1,/disk-tga-man-arka-dolu-p15247,15247
ESC 79164,Otomatik Fren Cırcırı Renault,otomatik-fren-circiri,Otomatik Fren Cırcırı,13,1265.0,1669.8,0.0,4W2230-KB2230-RV 44059-5010056686-5010056686-5000789893-6310025-6310025- 72161-14544-14607,True,4,/otomatik-fren-circiri-renault-p15157,15157
ESC 79163,Otomatik Fren Cırcırı Renault,otomatik-fren-circiri,Otomatik Fren Cırcırı,13,1265.0,1669.8,0.0,14608-14543-72160-6310024-6310024-5000789892-5010056685-5010056685-RV 44058-KB2240- 4W2240,True,4,/otomatik-fren-circiri-renault-p15156,15156
ESC 79439,EKERSAN OTOMATİK FREN CIRCIRI,otomatik-fren-circiri,Otomatik Fren Cırcırı,18,1265.0,1669.8,0.0,5010098832-2910-14816-42910-72741,True,4,/ekersan-otomatik-fren-circiri-p15155,15155
ESC 79438,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,16,1265.0,1669.8,0.0,72740-14815-2905-5010098831,True,4,/otomatik-fren-circiri-p15154,15154
ESC 1721,Mekanik Fren Cırcırı 5 Delik 10 Kanal,mekanik-fren-circiri,Mekanik Fren Cırcırı,26,943.0,1244.76,0.0,46404-201- 5968-24090-713930-9319019-106001721-517452610-2100200701-1041010068-4335010290,True,4,/mekanik-fren-circiri-5-delik-10-kanal-p15061,15061
ESB 230 20,12-153 Man Ön 58 MM,bijon,Bijon,2327,136.3086281057,179.93,0.0,81455010116-81455010152,True,3,/12-153-man-on-58-mm-p14912,14912
ESC 80159,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,189,1265.0,1669.8,2.0,6234201538-6234201338-6194200338-6194200138-1662201-4731204-4731337-4731790-4731303-10644-2145-2050-14718-42145-42050-42990-7223,True,4,/otomatik-fren-circiri-p14765,14765
ESC 80158,Otomatik Fren Cırcırı,otomatik-fren-circiri,Otomatik Fren Cırcırı,123,1265.0,1669.8,2.0,4731329-4731196-1662200-6194200038-6194200238-6234201238-6234201438-6584200238-6524200038-4335767100-4335767120-4335767240-94242,True,4,/otomatik-fren-circiri-p14764,14764
