sku,name,category_id,category_name,stock,b2b_price,site_price_est,sales_count,oem,has_image,image_count,path,source_id
42940.C,KOMPLE KÖRÜK METAL PİSTON,suspansiyon-korugu,Süspansiyon Körüğü,228,2860.0,3775.2,25.0,"0542942411 , 0542940931",True,1,/komple-koruk-metal-piston-p5207,5207
50-5320,FRENCOO KALİPER MEKANİZMA SETİ Y.M.,kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,55,5250.0,6930.0,6.0,,True,1,/frencoo-kaliper-mekanizma-seti-y-m-p15197,15197
ESB 696 10,Bijon Dps,bijon,Bijon,2380,166.0945,219.24,0.0,42117456,True,4,/bijon-dps-p4375,4375
ESB 622 10,BİJON İVECO ARKA-90 MM,bijon,Bijon,730,166.0903451708,219.24,0.0,42117451,True,1,/bijon-iveco-arka-90-mm-p15520,15520
ESB 341 10,BİJON FATİH İNT./PROF.ARKA-117 MM FREZELİ,bijon,Bijon,590,166.0903451708,219.24,0.0,760177,True,4,/bijon-fatih-int-prof-arka-117-mm-frezeli-p4321,4321
EYD 209 02-1,DİSK CİVATASI YILDIZ BAŞLI,disk-bijonu-civatasi,Disk Bijonu/Civatası,550,38.5,50.82,0.0,,False,0,/disk-civatasi-yildiz-basli-p33021,33021
ESB 273 20,TGA Man Ön Disk Bijonu,disk-bijonu-civatasi,Disk Bijonu/Civatası,530,155.7812892636,205.63,0.0,81455010129.0,True,8,/tga-man-on-disk-bijonu-p4303,4303
ESB 10236 30,Güleryüz Cobra Ön Disk,fren-diski,Fren Diski,520,158.0721905763,208.66,0.0,,True,4,/guleryuz-cobra-on-disk-p4199,4199
42881.C,Komple Körük Metal Piston,suspansiyon-korugu,Süspansiyon Körüğü,344,3245.0,4283.4,0.0,"0542940611 , 0542941421",True,1,/komple-koruk-metal-piston-p5198,5198
1000 620,6/20 Aliminyum Perçin,percin,Perçin,334,450.0,594.0,0.0,(A) C4,True,3,/6-20-aliminyum-percin-p1107,1107
ESB 2012 10,Serin Dorse Kısa 90 mm,bijon,Bijon,220,166.0903451708,219.24,0.0,,True,4,/serin-dorse-kisa-90-mm-p4259,4259
42644.R,Roll Körük,suspansiyon-korugu,Süspansiyon Körüğü,180,925.0,1221.0,0.0,"0003270101 , 0003270201 , 3073270101 ,1134445",True,1,/roll-koruk-p5175,5175
1000 822,8*22 ALUMİNYUM PERÇİN,percin,Perçin,167,450.0,594.0,0.0,(A) D4,True,3,/8-22-aluminyum-percin-p1115,1115
ESK 010 06,KAMPANA O303-O302S MERCEDES ÖN (V6 ÖN),fren-kampanasi,Fren Kampanası,150,4910.6104575,6482.01,0.0,"3054210001 , 3834230201",True,2,/kampana-o303-o302s-mercedes-on-v6-on-p4999,4999
424881.C,Komple Körük Metal Piston KISA,suspansiyon-korugu,Süspansiyon Körüğü,146,3110.0,4105.2,0.0,"0542941311 , 0542941311",True,1,/komple-koruk-metal-piston-kisa-p14145,14145
422211.P19,Katlı Körük Çapraz,suspansiyon-korugu,Süspansiyon Körüğü,128,880.0,1161.6,0.0,,False,0,/katli-koruk-capraz-p5106,5106
EYD 700 01,ÖZKOÇ TRAX 4711 PORYA KAPAĞI 12T,porya,Porya,114,450.0,594.0,0.0,,True,3,/ozkoc-trax-4711-porya-kapagi-12t-p5468,5468
ESK 161 25,KAMPANA CAM DORSE KAM14062,fren-kampanasi,Fren Kampanası,112,5281.2225675,6971.21,0.0,Fren Kampanası,True,1,/kampana-cam-dorse-kam14062-p15185,15185
422924.KP,SAF DORSE KÖRÜĞÜ KOMPLE PLASTİK PİSTON,suspansiyon-korugu,Süspansiyon Körüğü,95,2750.0,3630.0,0.0,,False,0,/saf-dorse-korugu-komple-plastik-piston-p33179,33179
EYD 91 09,AXOR ABS DİŞLİSİ / ÖN E.M,abs-sensoru-modulu-kablo,ABS Sensörü/Modülü/Kablo,77,220.0,290.4,0.0,9423340015,True,3,/axor-abs-dislisi-on-e-m-p5535,5535
30-3475,PAN17 AYAR TAŞIYICI MEKANİZMALI SET(MAN),kaliper-ayar-mekanizmasi,Kaliper Ayar Mekanizması,59,1600.0,2112.0,0.0,,True,1,/pan17-ayar-tasiyici-mekanizmali-set-man-p1489,1489
