id,sku,name,category_id,stock,site_price,oem
32,ESB 180 10-3,Mercedes Axor Actros Bijon 92 mm Dakromatlı Arka,bijon,100,196.28,9424010371
35,ESK 160 18-S,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası 18 cm,fren-kampanasi,6,4998.43,310667620-310967820-310967130
40,ESK 040 17,Ford Cargo Fren Kampanası Ön ESK 040 17,fren-kampanasi,2,6678.75,
59,ESB 194 20,Mercedes Axor Actros MAN Bijon 80 mm DPS,bijon,1590,183.64,3894010071-81455010114-81455010133-81455010163
98,ESK 160 27,Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 160 27,fren-kampanasi,87,4083.82,OK-JK-19.5(2806)
102,ESK 160 17,Ford Cargo BPW Dorse Krone Dorse Kögel Dorse Fren Kampanası ESK 160 17,fren-kampanasi,123,4998.42,310967190
109,ESK 140 01,Ford Cargo Krone Dorse Kögel Dorse Fren Kampanası ESK 140 01,fren-kampanasi,39,6147,194435-189937
115,ESK 080 10,Isuzu NPR NQR Mitsubishi Canter Fuso Fren Kampanası Ön Arka ESK 080 10,fren-kampanasi,24,2807.63,MC 838284
116,ESK 080 06,Isuzu NPR NQR Mitsubishi Canter Fuso Fren Kampanası Ön Arka ESK 080 06,fren-kampanasi,12,3020.33,MC 112024
139,ESK 040 02,Ford Cargo Fren Kampanası 18 cm Arka,fren-kampanasi,2,4892.08,6119230
140,ESK 030 16,BMC Fren Kampanası ESK 030 16,fren-kampanasi,2,3137.31,51RS401276A
141,ESK 030 15,BMC Fren Kampanası Ön Arka ESK 030 15,fren-kampanasi,6,3030.96,566346
180,ESD 090 04,Otokar Sultan Doruk Fren Diski Ön ESD 090 04,fren-diski,157,4636.84,
182,ESD 080 01,1386686 Scania P G R Fren Diski ESD 080 01,fren-diski,301,3817.95,"1386686, 1402272, 1852817, K000510, K000810"
186,ESD 070 23,0308835057 BPW Kogel Krone Dorse Fren Diski ESD 070 23,fren-diski,1244,4126.36,"0308835050, 0308835057"
189,ESD 070 18,Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Fren Diski ESD 070 18,fren-diski,15,4636.84,"407001800, 4079001801"
