"campaign","ad_group","keyword","match_type","final_url","max_cpc_try","priority"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29246 fren balatasi","Exact","https://www.frenciniz.com/29246-mercedes-axor-actros-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29246 mercedes axor balata","Exact","https://www.frenciniz.com/29246-mercedes-axor-actros-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","mercedes axor 29246","Exact","https://www.frenciniz.com/29246-mercedes-axor-actros-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","actros 29246 fren balatasi","Exact","https://www.frenciniz.com/29246-mercedes-axor-actros-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","29087 fren balatasi","Exact","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","29087 mercedes actros balata","Exact","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","axor 29087 balata","Exact","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","scania 29087 fren balatasi","Exact","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","MAN TGA fren balatasi","29279 fren balatasi","Exact","https://www.frenciniz.com/29279-man-tga-tgs-tgx-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","MAN TGA fren balatasi","man 29279 balata","Exact","https://www.frenciniz.com/29279-man-tga-tgs-tgx-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","MAN TGA fren balatasi","man tga tgs tgx fren balatasi","Exact","https://www.frenciniz.com/29279-man-tga-tgs-tgx-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","MAN TGA fren balatasi","tgx 29279 balata","Exact","https://www.frenciniz.com/29279-man-tga-tgs-tgx-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29159 fren balatasi","Exact","https://www.frenciniz.com/29159-29126-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29159 saf dorse balata","Exact","https://www.frenciniz.com/29159-29126-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29126 fren balatasi","Exact","https://www.frenciniz.com/29159-29126-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","saf dorse fren balatasi","Exact","https://www.frenciniz.com/29159-29126-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren balatasi","29165 fren balatasi","Exact","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren balatasi","29215 fren balatasi","Exact","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren balatasi","bpw atego 29165","Exact","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren balatasi","bpw dorse fren balatasi","Exact","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros fren diski","9424212112 fren diski","Exact","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros fren diski","mercedes axor 9424212112","Exact","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros fren diski","actros fren diski 9424212112","Exact","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros fren diski","9424211212 fren diski","Exact","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren diski","0308835057 fren diski","Exact","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren diski","bpw 0308835057","Exact","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren diski","bpw dorse fren diski","Exact","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","BPW dorse dingili fren diski","kogel dorse fren diski","Exact","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Scania 4 serisi fren diski","1386686 fren diski","Exact","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Scania 4 serisi fren diski","scania 1386686","Exact","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Scania 4 serisi fren diski","scania pgr fren diski","Exact","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Scania 4 serisi fren diski","1402272 fren diski","Exact","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","29244 fren balatasi","Exact","https://www.frenciniz.com/29244-mercedes-axor-actros-arka-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","29244 mercedes axor arka balata","Exact","https://www.frenciniz.com/29244-mercedes-axor-actros-arka-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","actros 29244 balata","Exact","https://www.frenciniz.com/29244-mercedes-axor-actros-arka-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Actros/Axor fren balatasi","Mercedes-Benz Actros/Axor fren balatasi","Exact","https://www.frenciniz.com/29244-mercedes-axor-actros-arka-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Mercedes-Benz Axor fren balatasi","Mercedes-Benz Axor fren balatasi","Exact","https://www.frenciniz.com/29244-mercedes-axor-actros-arka-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29195 fren balatasi","Exact","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","29195 saf dorse balata","Exact","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","saf 29195","Exact","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","6.00","sales-priority-1"
"FRN-Search-HighIntent-OEM-Lead","Knorr / WABCO / Meritor kaliper","krone dorse 29195 balata","Exact","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","6.00","sales-priority-1"
