"campaign","ad_group","keyword","match_type","final_url","max_cpc_try","priority"
"FRN-Search-HotTraffic-2026-07-11","ESC 80422 Arocs Fren Circiri","esc 80422","Exact","https://www.frenciniz.com/urun/86/esc-80422-mercedes-arocs-fren-circiri-sol-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESC 80422 Arocs Fren Circiri","esc 80422 fren circiri","Exact","https://www.frenciniz.com/urun/86/esc-80422-mercedes-arocs-fren-circiri-sol-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESC 80422 Arocs Fren Circiri","arocs fren circiri","Exact","https://www.frenciniz.com/urun/86/esc-80422-mercedes-arocs-fren-circiri-sol-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESC 80422 Arocs Fren Circiri","mercedes arocs fren circiri","Exact","https://www.frenciniz.com/urun/86/esc-80422-mercedes-arocs-fren-circiri-sol-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","3010097AA ESD 090 09 Fren Diski","3010097aa","Exact","https://www.frenciniz.com/urun/281/3010097aa-ford-cargo-otokar-sultan-doruk-krone-dorse-fren-diski-abs-li-arka-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","3010097AA ESD 090 09 Fren Diski","3010097aa fren diski","Exact","https://www.frenciniz.com/urun/281/3010097aa-ford-cargo-otokar-sultan-doruk-krone-dorse-fren-diski-abs-li-arka-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","3010097AA ESD 090 09 Fren Diski","esd 090 09 fren diski","Exact","https://www.frenciniz.com/urun/281/3010097aa-ford-cargo-otokar-sultan-doruk-krone-dorse-fren-diski-abs-li-arka-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","3010097AA ESD 090 09 Fren Diski","ford cargo arka fren diski","Exact","https://www.frenciniz.com/urun/281/3010097aa-ford-cargo-otokar-sultan-doruk-krone-dorse-fren-diski-abs-li-arka-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","FT 344183 Suspansiyon Korugu","ft 344183","Exact","https://www.frenciniz.com/urun/452/ford-cargo-krone-dorse-kogel-dorse-suspansiyon-korugu-ft-344183-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","FT 344183 Suspansiyon Korugu","ft 344183 koruk","Exact","https://www.frenciniz.com/urun/452/ford-cargo-krone-dorse-kogel-dorse-suspansiyon-korugu-ft-344183-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","FT 344183 Suspansiyon Korugu","krone suspansiyon korugu","Exact","https://www.frenciniz.com/urun/452/ford-cargo-krone-dorse-kogel-dorse-suspansiyon-korugu-ft-344183-ekersan","6.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","FT 344183 Suspansiyon Korugu","kogel dorse korugu","Exact","https://www.frenciniz.com/urun/452/ford-cargo-krone-dorse-kogel-dorse-suspansiyon-korugu-ft-344183-ekersan","6.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","2992636 ESD 030 17 Fren Diski","2992636 fren diski","Exact","https://www.frenciniz.com/urun/212/2992636-ford-cargo-fren-diski-abs-li-arka-esd-030-17-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","2992636 ESD 030 17 Fren Diski","esd 030 17 fren diski","Exact","https://www.frenciniz.com/urun/212/2992636-ford-cargo-fren-diski-abs-li-arka-esd-030-17-ekersan","8.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","2992636 ESD 030 17 Fren Diski","ford cargo fren diski absli arka","Exact","https://www.frenciniz.com/urun/212/2992636-ford-cargo-fren-diski-abs-li-arka-esd-030-17-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","29328 PWR-5027 Dorse Balata","29328 fren balatasi","Exact","https://www.frenciniz.com/urun/718/29328-ford-cargo-krone-dorse-kogel-dorse-disk-fren-balatasi-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","29328 PWR-5027 Dorse Balata","pwr-5027 balata","Exact","https://www.frenciniz.com/urun/718/29328-ford-cargo-krone-dorse-kogel-dorse-disk-fren-balatasi-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","29328 PWR-5027 Dorse Balata","krone dorse balata","Exact","https://www.frenciniz.com/urun/718/29328-ford-cargo-krone-dorse-kogel-dorse-disk-fren-balatasi-ekersan","6.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESD 110 01-2 Dorse Fren Diski","esd 110 01-2","Exact","https://www.frenciniz.com/urun/174/ford-cargo-krone-dorse-kogel-dorse-fren-diski-esd-110-01-2-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESD 110 01-2 Dorse Fren Diski","esd 110 01-2 fren diski","Exact","https://www.frenciniz.com/urun/174/ford-cargo-krone-dorse-kogel-dorse-fren-diski-esd-110-01-2-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","ESD 110 01-2 Dorse Fren Diski","krone dorse fren diski","Exact","https://www.frenciniz.com/urun/174/ford-cargo-krone-dorse-kogel-dorse-fren-diski-esd-110-01-2-ekersan","6.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","PWR-5009 SAF Dorse Balata","pwr-5009","Exact","https://www.frenciniz.com/urun/731/29159-29126-saf-dorse-disk-fren-balatasi-pwr-5009-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","PWR-5009 SAF Dorse Balata","pwr-5009 fren balatasi","Exact","https://www.frenciniz.com/urun/731/29159-29126-saf-dorse-disk-fren-balatasi-pwr-5009-ekersan","7.00","hot-traffic"
"FRN-Search-HotTraffic-2026-07-11","PWR-5009 SAF Dorse Balata","29159 29126 balata","Exact","https://www.frenciniz.com/urun/731/29159-29126-saf-dorse-disk-fren-balatasi-pwr-5009-ekersan","7.00","hot-traffic"
