"campaign","ad_group","match_type","keyword","final_url","intent","note"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","exact","mercedes actros fren diski","https://www.frenciniz.com/mercedes-actros-fren-diski","high","Model + parca"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","phrase","mercedes actros fren diski fiyat","https://www.frenciniz.com/mercedes-actros-fren-diski","high","Fiyat niyeti"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","exact","mercedes actros axor fren diski","https://www.frenciniz.com/mercedes-actros-axor-fren-diski","high","Model + parca"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","phrase","actros 1840 fren diski","https://www.frenciniz.com/mercedes-actros-1840-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","phrase","actros 3340 fren diski","https://www.frenciniz.com/mercedes-actros-3340-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","phrase","axor 1840 fren diski","https://www.frenciniz.com/mercedes-axor-1840-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Disk","phrase","axor 3340 fren diski","https://www.frenciniz.com/mercedes-axor-3340-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Kampana","exact","mercedes axor fren kampanasi","https://www.frenciniz.com/mercedes-axor-fren-kampanasi","high","Model + parca"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Kampana","phrase","actros fren kampanasi fiyat","https://www.frenciniz.com/mercedes-actros-fren-kampanasi","high","Fiyat niyeti"
"Frenciniz Search - Fren Aksami","Mercedes Actros Axor Kampana","phrase","axor 3340 fren kampanasi","https://www.frenciniz.com/mercedes-axor-3340-fren-kampanasi","high","Yeni landing"
"Frenciniz Search - Fren Aksami","MAN Disk Kampana","exact","man tga fren diski","https://www.frenciniz.com/man-tga-fren-diski","high","Model + parca"
"Frenciniz Search - Fren Aksami","MAN Disk Kampana","phrase","man 40.360 fren diski","https://www.frenciniz.com/man-40-360-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","MAN Disk Kampana","phrase","man 40.460 fren diski","https://www.frenciniz.com/man-40-460-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","MAN Disk Kampana","phrase","man tgs fren kampanasi","https://www.frenciniz.com/man-tgs-tgx-fren-kampanasi","medium","Model + parca"
"Frenciniz Search - Fren Aksami","Scania Disk Kampana","exact","scania fren diski","https://www.frenciniz.com/scania-r-g-fren-diski","high","Marka + parca"
"Frenciniz Search - Fren Aksami","Scania Disk Kampana","phrase","scania g420 fren diski","https://www.frenciniz.com/scania-g420-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Scania Disk Kampana","phrase","scania r420 fren diski","https://www.frenciniz.com/scania-r420-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Scania Disk Kampana","phrase","scania fren kampanasi","https://www.frenciniz.com/scania-r-g-fren-kampanasi","medium","Marka + parca"
"Frenciniz Search - Fren Aksami","Volvo Disk Kampana","exact","volvo fh fren diski","https://www.frenciniz.com/volvo-fh-fren-diski","high","Model + parca"
"Frenciniz Search - Fren Aksami","Volvo Disk Kampana","phrase","volvo fh12 fren diski","https://www.frenciniz.com/volvo-fh12-fren-diski","high","Yeni landing"
"Frenciniz Search - Fren Aksami","Volvo Disk Kampana","phrase","volvo fh fren kampanasi","https://www.frenciniz.com/volvo-fh-fren-kampanasi","medium","Model + parca"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","exact","bpw dorse fren kampanasi","https://www.frenciniz.com/bpw-dorse-fren-kampanasi","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","phrase","bpw dorse fren diski","https://www.frenciniz.com/bpw-dorse-fren-diski","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","phrase","saf dorse fren diski","https://www.frenciniz.com/saf-dorse-fren-diski","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","phrase","krone dorse fren diski","https://www.frenciniz.com/krone-dorse-fren-diski","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","phrase","kogel dorse fren diski","https://www.frenciniz.com/kogel-dorse-fren-diski","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Dorse Disk Kampana","phrase","schmitz dorse fren kampanasi","https://www.frenciniz.com/schmitz-dorse-fren-kampanasi","medium","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Fren Balatasi","exact","agir vasita fren balatasi","https://www.frenciniz.com/agir-vasita-fren-balatasi","high","Genel kategori"
"Frenciniz Search - Fren Aksami","Fren Balatasi","phrase","kamyon fren balatasi","https://www.frenciniz.com/kamyon-fren-balatasi","high","Arac tipi"
"Frenciniz Search - Fren Aksami","Fren Balatasi","phrase","tir fren balatasi","https://www.frenciniz.com/tir-fren-balatasi","high","Arac tipi"
"Frenciniz Search - Fren Aksami","Fren Balatasi","phrase","dorse fren balatasi","https://www.frenciniz.com/dorse-fren-balatasi","high","Arac tipi"
"Frenciniz Search - Fren Aksami","Kaliper Tamir Takimi","exact","kaliper tamir takimi","https://www.frenciniz.com/agir-vasita-kaliper-tamir-takimi","high","Yedek parca niyeti"
"Frenciniz Search - Fren Aksami","Kaliper Tamir Takimi","phrase","knorr kaliper tamir takimi","https://www.frenciniz.com/knorr-wabco-kaliper-tamir-takimi","high","Marka tipi"
"Frenciniz Search - Fren Aksami","Kaliper Tamir Takimi","phrase","wabco kaliper tamir takimi","https://www.frenciniz.com/knorr-wabco-kaliper-tamir-takimi","high","Marka tipi"
"Frenciniz Search - Fren Aksami","Korukler","exact","agir vasita fren korugu","https://www.frenciniz.com/agir-vasita-fren-korugu","high","Kategori"
"Frenciniz Search - Fren Aksami","Korukler","phrase","kamyon fren korugu","https://www.frenciniz.com/kamyon-fren-korugu","high","Arac tipi"
"Frenciniz Search - Fren Aksami","Korukler","phrase","suspansiyon korugu","https://www.frenciniz.com/agir-vasita-suspansiyon-korugu","high","Kategori"
"Frenciniz Search - Fren Aksami","Korukler","phrase","dorse suspansiyon korugu","https://www.frenciniz.com/dorse-suspansiyon-korugu","high","Dorse niyeti"
"Frenciniz Search - Fren Aksami","Bijon Somun Porya","exact","dorse bijon somun","https://www.frenciniz.com/dorse-bijon-somun","high","Kategori"
