"campaign","keyword","match_type"
"FRN-Search-HighIntent-OEM-Lead","otomobil","Phrase"
"FRN-Search-HighIntent-OEM-Lead","araba","Phrase"
"FRN-Search-HighIntent-OEM-Lead","binek","Phrase"
"FRN-Search-HighIntent-OEM-Lead","motosiklet","Phrase"
"FRN-Search-HighIntent-OEM-Lead","bisiklet","Phrase"
"FRN-Search-HighIntent-OEM-Lead","scooter","Phrase"
"FRN-Search-HighIntent-OEM-Lead","cikma","Phrase"
"FRN-Search-HighIntent-OEM-Lead","çıkma","Phrase"
"FRN-Search-HighIntent-OEM-Lead","ikinci el","Phrase"
"FRN-Search-HighIntent-OEM-Lead","bedava","Phrase"
"FRN-Search-HighIntent-OEM-Lead","ucretsiz","Phrase"
"FRN-Search-HighIntent-OEM-Lead","ücretsiz","Phrase"
"FRN-Search-HighIntent-OEM-Lead","pdf","Phrase"
"FRN-Search-HighIntent-OEM-Lead","katalog pdf","Phrase"
"FRN-Search-HighIntent-OEM-Lead","resim","Phrase"
"FRN-Search-HighIntent-OEM-Lead","tamiri nasil","Phrase"
"FRN-Search-HighIntent-OEM-Lead","nasıl yapılır","Phrase"
"FRN-Search-HighIntent-OEM-Lead","sahibinden","Phrase"
"FRN-Search-HighIntent-OEM-Lead","letgo","Phrase"
"FRN-Search-HighIntent-OEM-Lead","dolap","Phrase"
"FRN-Search-HighIntent-OEM-Lead","aliexpress","Phrase"
"FRN-Search-HighIntent-OEM-Lead","temu","Phrase"
"FRN-Search-HighIntent-OEM-Lead","oyuncak","Phrase"
"FRN-Search-HighIntent-OEM-Lead","maket","Phrase"
