"campaign","ad_group","match_type","keyword","final_url","product_id","category","demand_group","stock","price"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","9424212112 fren diski","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","234","Fren Diski","9424212112-mercedes-axor-actros-fren-diski","1286","3857.59"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","mercedes axor 9424212112","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","234","Fren Diski","9424212112-mercedes-axor-actros-fren-diski","1286","3857.59"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","actros fren diski 9424212112","https://www.frenciniz.com/9424212112-mercedes-axor-actros-fren-diski","234","Fren Diski","9424212112-mercedes-axor-actros-fren-diski","1286","3857.59"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","0308835057 fren diski","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","186","Fren Diski","0308835057-bpw-kogel-krone-dorse-fren-diski","1244","4126.36"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","bpw 0308835057","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","186","Fren Diski","0308835057-bpw-kogel-krone-dorse-fren-diski","1244","4126.36"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","bpw dorse fren diski","https://www.frenciniz.com/0308835057-bpw-kogel-krone-dorse-fren-diski","186","Fren Diski","0308835057-bpw-kogel-krone-dorse-fren-diski","1244","4126.36"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","1386686 fren diski","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","182","Fren Diski","1386686-scania-pgr-fren-diski","301","3817.95"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","scania 1386686","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","182","Fren Diski","1386686-scania-pgr-fren-diski","301","3817.95"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","scania pgr fren diski","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","182","Fren Diski","1386686-scania-pgr-fren-diski","301","3817.95"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","81508030042 fren diski","https://www.frenciniz.com/81508030042-man-tgl-tgm-fren-diski","72","Fren Diski","81508030042-man-tgl-tgm-fren-diski","167","2903.34"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","man tgl fren diski","https://www.frenciniz.com/81508030042-man-tgl-tgm-fren-diski","72","Fren Diski","81508030042-man-tgl-tgm-fren-diski","167","2903.34"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","man tgm fren diski","https://www.frenciniz.com/81508030042-man-tgl-tgm-fren-diski","72","Fren Diski","81508030042-man-tgl-tgm-fren-diski","167","2903.34"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","1386686 fren diski","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","87","Fren Diski","1386686-scania-pgr-fren-diski","12","4732.56"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","scania 1386686","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","87","Fren Diski","1386686-scania-pgr-fren-diski","12","4732.56"
"Frenciniz Urun Arama - Exact","Fren Diski","Exact","scania pgr fren diski","https://www.frenciniz.com/1386686-scania-pgr-fren-diski","87","Fren Diski","1386686-scania-pgr-fren-diski","12","4732.56"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29087 fren balatasi","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","657","Fren Balatası","29087-mercedes-axor-actros-scania-fren-balatasi","343","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29087 mercedes actros balata","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","657","Fren Balatası","29087-mercedes-axor-actros-scania-fren-balatasi","343","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","axor 29087 balata","https://www.frenciniz.com/29087-mercedes-axor-actros-scania-fren-balatasi","657","Fren Balatası","29087-mercedes-axor-actros-scania-fren-balatasi","343","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29195 fren balatasi","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","641","Fren Balatası","29195-saf-dorse-fren-balatasi","204","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29195 saf dorse balata","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","641","Fren Balatası","29195-saf-dorse-fren-balatasi","204","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","saf 29195","https://www.frenciniz.com/29195-saf-dorse-fren-balatasi","641","Fren Balatası","29195-saf-dorse-fren-balatasi","204","2059.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29165 fren balatasi","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","1026","Fren Balatası","29165-29215-bpw-atego-dorse-fren-balatasi","196","1900.8"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29215 fren balatasi","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","1026","Fren Balatası","29165-29215-bpw-atego-dorse-fren-balatasi","196","1900.8"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","bpw atego 29165","https://www.frenciniz.com/29165-29215-bpw-atego-dorse-fren-balatasi","1026","Fren Balatası","29165-29215-bpw-atego-dorse-fren-balatasi","196","1900.8"
"Frenciniz Urun Arama - Exact","Süspansiyon Körüğü","Exact","1903608 koruk","https://www.frenciniz.com/1903608-scania-pgr-suspansiyon-korugu","924","Süspansiyon Körüğü","1903608-scania-pgr-suspansiyon-korugu","191","3610.2"
"Frenciniz Urun Arama - Exact","Süspansiyon Körüğü","Exact","scania 1903608 suspansiyon korugu","https://www.frenciniz.com/1903608-scania-pgr-suspansiyon-korugu","924","Süspansiyon Körüğü","1903608-scania-pgr-suspansiyon-korugu","191","3610.2"
"Frenciniz Urun Arama - Exact","Süspansiyon Körüğü","Exact","scania hava korugu","https://www.frenciniz.com/1903608-scania-pgr-suspansiyon-korugu","924","Süspansiyon Körüğü","1903608-scania-pgr-suspansiyon-korugu","191","3610.2"
"Frenciniz Urun Arama - Exact","Fren Balatası","Exact","29159 fren balatasi","https://www.frenciniz.com/29159-29126-saf-dorse-fren-balatasi","1025","Fren Balatası","29159-29126-saf-dorse-fren-balatasi","138","1900.8"
