"score","id","category","primary_query","secondary_queries","url","stock","price"
"108","801","Fren Pabucu","Fren Pabucu BPW ECOPlus 20 cm OEM (A) H4 EYD 80 03","BPW dorse dingili Fren Pabucu | BPW dorse dingili (A) H4 | (A) H4 Fren Pabucu | EYD 80 03 Fren Pabucu | Fren Pabucu BPW ECOPlus 20 cm","https://www.frenciniz.com/urun/801/fren-pabucu-bpw-ecoplus-20-cm-oem-a-h4-eyd-80-03-ekersan","1521","1141.8"
"108","231","Fren Diski","Fren Diski Mercedes Actros Axor OEM 9434210312 ESD 010 12","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 9434210312 | 9434210312 Fren Diski | ESD 010 12 Fren Diski | Fren Diski Mercedes Actros Axor","https://www.frenciniz.com/urun/231/fren-diski-mercedes-actros-axor-oem-9434210312-esd-010-12-ekersan","1291","3857.59"
"108","234","Fren Diski","Fren Diski Mercedes Actros Axor OEM 9424211212 ESD 010 02","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 9424211212 | 9424211212 Fren Diski | ESD 010 02 Fren Diski | Fren Diski Mercedes Actros Axor","https://www.frenciniz.com/urun/234/fren-diski-mercedes-actros-axor-oem-9424211212-esd-010-02-ekersan","1286","3857.59"
"108","186","Fren Diski","Fren Diski BPW ECOPlus OEM 0308835050 ESD 070 23","BPW dorse dingili Fren Diski | BPW dorse dingili 0308835050 | 0308835050 Fren Diski | ESD 070 23 Fren Diski | Fren Diski BPW ECOPlus","https://www.frenciniz.com/urun/186/fren-diski-bpw-ecoplus-oem-0308835050-esd-070-23-ekersan","1244","4126.36"
"108","216","Fren Diski","Fren Diski Iveco Eurocargo Stralis OEM 2995812 ESD 030 09","Iveco Eurocargo Fren Diski | Iveco Eurocargo 2995812 | 2995812 Fren Diski | ESD 030 09 Fren Diski | Fren Diski Iveco Eurocargo Stralis","https://www.frenciniz.com/urun/216/fren-diski-iveco-eurocargo-stralis-oem-2995812-esd-030-09-ekersan","534","4849.54"
"108","227","Fren Diski","Fren Diski Mercedes Actros Arocs Axor OEM 9604210412 ESD 010 27","Mercedes-Benz Actros Fren Diski | Mercedes-Benz Actros 9604210412 | 9604210412 Fren Diski | ESD 010 27 Fren Diski | Fren Diski Mercedes Actros Arocs Axor","https://www.frenciniz.com/urun/227/fren-diski-mercedes-actros-arocs-axor-oem-9604210412-esd-010-27-ekersan","442","4273.32"
"108","224","Fren Diski","Fren Diski MAN TGA TGM TGS TGX OEM 81508030040 ESD 020 09","MAN TGA Fren Diski | MAN TGA 81508030040 | 81508030040 Fren Diski | ESD 020 09 Fren Diski | Fren Diski MAN TGA TGM TGS TGX","https://www.frenciniz.com/urun/224/fren-diski-man-tga-tgm-tgs-tgx-oem-81508030040-esd-020-09-ekersan","437","4137.96"
"108","169","Fren Diski","Fren Diski Mercedes Travego Tourismo OEM 82135830 ESD 140 01","Otokar Doruk Fren Diski | Otokar Doruk 82135830 | 82135830 Fren Diski | ESD 140 01 Fren Diski | Fren Diski Mercedes Travego Tourismo","https://www.frenciniz.com/urun/169/fren-diski-mercedes-travego-tourismo-oem-82135830-esd-140-01-ekersan","369","4604.94"
"108","223","Fren Diski","Fren Diski MAN TGA TGM TGS TGX OEM 81508030041 ESD 020 10","MAN TGA Fren Diski | MAN TGA 81508030041 | 81508030041 Fren Diski | ESD 020 10 Fren Diski | Fren Diski MAN TGA TGM TGS TGX","https://www.frenciniz.com/urun/223/fren-diski-man-tga-tgm-tgs-tgx-oem-81508030041-esd-020-10-ekersan","364","4137.96"
"108","203","Fren Diski","Fren Diski Scania P G R OEM 1387439 ESD 060 02","Scania 4 serisi Fren Diski | Scania 4 serisi 1387439 | 1387439 Fren Diski | ESD 060 02 Fren Diski | Fren Diski Scania P G R","https://www.frenciniz.com/urun/203/fren-diski-scania-p-g-r-oem-1387439-esd-060-02-ekersan","357","3594.62"
