"id","category","sku","oem","demand_group","demand_rank","demand_add_on","old_name","seo_name","seo_title","seo_description","primary_query","secondary_queries","url","demand_landing","stock","price"
"1","Mekanik Fren Cırcırı","ESC 1760-1","517465130-517465130-517465220-100001760-24490-A3450","","","no","Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1","517465130 Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1","517465130 Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1 | Frenciniz","517465130 Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Ağır vasıta. OEM/SKU: 517465130. Stokta urun...","517465130 Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1","kamyon Mekanik Fren Cırcırı | kamyon 517465130 | 517465130 Mekanik Fren Cırcırı | ESC 1760-1 Mekanik Fren Cırcırı | Mekanik Fren Cırcırı 7 Delik 10 Kanal ESC 1760-1","https://www.frenciniz.com/urun/1/517465130-mekanik-fren-circiri-7-delik-10-kanal-esc-1760-1-ekersan","","600","1082.4"
"2","Bijon","ESB 1315 10","21022167","21022167-ror-meritor-bijon","14","yes","21022167 ROR Meritor Dorse Bijon ESB 1315 10","21022167 ROR Meritor Dorse Bijon ESB 1315 10","21022167 ROR Meritor Dorse Bijon ESB 1315 10 | Frenciniz","21022167 ROR Meritor Dorse Bijon ESB 1315 10 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: ROR dorse dingili, Meritor/ROR treyler, Dorse / treyler....","21022167 bijon","ror meritor bijon | dorse bijon 21022167 | 21022167 ROR Meritor Dorse Bijon ESB 1315 10 | ROR dorse dingili Bijon | ROR dorse dingili 21022167 | ESB 1315 10 Bijon","https://www.frenciniz.com/urun/2/21022167-ror-meritor-dorse-bijon-esb-1315-10-ekersan","","155","218.55"
"3","Otomatik Fren Cırcırı","ESC 79458","14632, 79308, 79075, 79308, 5010260115, 79308, 4W3055","","","no","Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79458","14632 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79458","14632 Renault Premium Magnum Kerax Midlum D Serisi... | Frenciniz","14632 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79458 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Renault Trucks...","14632 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79458","Renault Trucks Premium Otomatik Fren Cırcırı | Renault Trucks Premium 14632 | 14632 Otomatik Fren Cırcırı | ESC 79458 Otomatik Fren Cırcırı | Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79458","https://www.frenciniz.com/urun/3/14632-renault-premium-magnum-kerax-midlum-d-serisi-otomatik-fren-circiri-esc-79458-ekersan","","25","1452"
"4","Otomatik Fren Cırcırı","ESC 79445","5010098861, 50010098861, 14634, 79295, 72799, 05010098861, 4W2925, KB2925","","","no","Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79445","5010098861 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79445","5010098861 Renault Premium Magnum Kerax Midlum D Serisi... | Frenciniz","5010098861 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79445 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Renault Trucks...","5010098861 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79445","Renault Trucks Midlum Otomatik Fren Cırcırı | Renault Trucks Midlum 5010098861 | 5010098861 Otomatik Fren Cırcırı | ESC 79445 Otomatik Fren Cırcırı | Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79445","https://www.frenciniz.com/urun/4/5010098861-renault-premium-magnum-kerax-midlum-d-serisi-otomatik-fren-circiri-esc-79445-ekersan","","29","1452"
"5","Otomatik Fren Cırcırı","ESC 79444","5010098860, 50010098860, 14633, 79294, 72798, 05010098860, 4W2920, 4W2920, KB2920","","","no","Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79444","5010098860 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79444","5010098860 Renault Premium Magnum Kerax Midlum D Serisi... | Frenciniz","5010098860 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79444 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Renault Trucks...","5010098860 Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79444","Renault Trucks Midlum Otomatik Fren Cırcırı | Renault Trucks Midlum 5010098860 | 5010098860 Otomatik Fren Cırcırı | ESC 79444 Otomatik Fren Cırcırı | Renault Premium Magnum Kerax Midlum D Serisi Otomatik Fren Cırcırı ESC 79444","https://www.frenciniz.com/urun/5/5010098860-renault-premium-magnum-kerax-midlum-d-serisi-otomatik-fren-circiri-esc-79444-ekersan","","14","1452"
"6","Fren Diski","ESD 130 09","387.061.2600.51","","","no","Isuzu NPR NQR Fren Diski","387.061.2600.51 Isuzu NPR NQR Fren Diski","387.061.2600.51 Isuzu NPR NQR Fren Diski | Frenciniz","387.061.2600.51 Isuzu NPR NQR Fren Diski icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Isuzu Novo, Isuzu NovoCiti Life, Isuzu CitiLife. OEM/SKU:...","387.061.2600.51 Isuzu NPR NQR Fren Diski","Isuzu Novo Fren Diski | Isuzu Novo 387.061.2600.51 | 387.061.2600.51 Fren Diski | ESD 130 09 Fren Diski | Isuzu NPR NQR Fren Diski","https://www.frenciniz.com/urun/6/387-061-2600-51-isuzu-npr-nqr-fren-diski-ekersan","","39","3243.66"
"7","Fren Diski","ESD 220 03","","","","no","Ford Cargo Krone Dorse Kögel Dorse Fren Diski Göbekli","ESD 220 03 Ford Cargo Krone Dorse Kögel Dorse Fren Diski Göbekli","ESD 220 03 Ford Cargo Krone Dorse Kögel Dorse Fren Diski... | Frenciniz","ESD 220 03 Ford Cargo Krone Dorse Kögel Dorse Fren Diski Göbekli icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Krone dorse, Krone treyler, Kögel...","ESD 220 03 Ford Cargo Krone Dorse Kögel Dorse Fren Diski Göbekli","Krone dorse Fren Diski | Krone dorse ESD 220 03 | ESD 220 03 Fren Diski | Ford Cargo Krone Dorse Kögel Dorse Fren Diski Göbekli","https://www.frenciniz.com/urun/7/esd-220-03-ford-cargo-krone-dorse-kogel-dorse-fren-diski-gobekli-ekersan","","179","4918.32"
"8","Disk Bijonu/Civatası","ESB 145 10","","","","no","Mercedes Atego Disk Bijonu Arka Y.M.","ESB 145 10 Mercedes Atego Disk Bijonu Arka Y.M.","ESB 145 10 Mercedes Atego Disk Bijonu Arka Y.M. | Frenciniz","ESB 145 10 Mercedes Atego Disk Bijonu Arka Y.M. icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Mercedes-Benz Atego, Atego 815, Atego 818. OEM/SKU: ESB...","ESB 145 10 Mercedes Atego Disk Bijonu Arka Y.M.","Mercedes-Benz Atego Disk Bijonu/Civatası | Mercedes-Benz Atego ESB 145 10 | ESB 145 10 Disk Bijonu/Civatası | Mercedes Atego Disk Bijonu Arka Y.M.","https://www.frenciniz.com/urun/8/esb-145-10-mercedes-atego-disk-bijonu-arka-y-m-ekersan","","1010","170.44"
"9","Disk Bijonu/Civatası","ESB 4000 12","31796200","31796200-ror-meritor-knorr-wabco-disk-bijonu","15","yes","31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12","31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12","31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12 | Frenciniz","31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12 icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: Ağır vasıta kaliper sistemi, Knorr / WABCO /...","31796200 disk bijonu","knorr wabco disk bijonu | ror meritor disk bijonu | 31796200 ROR Meritor Knorr WABCO Disk Bijonu ESB 4000 12 | Ağır vasıta kaliper sistemi Disk Bijonu/Civatası | Ağır vasıta kaliper sistemi 31796200 | 31796200 Disk Bijonu/Civatası | ESB 4000 12 Disk Bijonu/Civatası","https://www.frenciniz.com/urun/9/31796200-ror-meritor-knorr-wabco-disk-bijonu-esb-4000-12-ekersan","","3990","73.46"
"10","Disk Bijonu/Civatası","ESB 4000 15","","","","no","Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Disk Bijonu Y.M.","ESB 4000 15 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Disk Bijonu Y.M.","ESB 4000 15 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse... | Frenciniz","ESB 4000 15 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Disk Bijonu Y.M. icin stok, fiyat ve uyumluluk teyidi. Uygunluk adaylari: SAF dorse dingili, SAF Holland...","ESB 4000 15 Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Disk Bijonu Y.M.","SAF dorse dingili Disk Bijonu/Civatası | SAF dorse dingili ESB 4000 15 | ESB 4000 15 Disk Bijonu/Civatası | Ford Cargo SAF Dorse Krone Dorse Kögel Dorse Disk Bijonu Y.M.","https://www.frenciniz.com/urun/10/esb-4000-15-ford-cargo-saf-dorse-krone-dorse-kogel-dorse-disk-bijonu-y-m-ekersan","","3368","91.74"
