"id","slug","name","sku","oem","brand","category","group","stock","price","seoUrl"
"1","mekanik-fren-circiri-7-delik-10-kanal-eur-esc-1760-1-ekersan","Mekanik Fren Cırcırı 7 Delik 10 Kanal (EUR)","ESC 1760-1","517465130-517465130-517465220-100001760-24490-A3450","Ekersan","Mekanik Fren Cırcırı","CIRCIR","600","1082.4","https://frenciniz.com/urun/1/mekanik-fren-circiri-7-delik-10-kanal-eur-esc-1760-1-ekersan"
"2","bijon-ror-dorse-95-mm-esb-1315-10-ekersan","BİJON ROR DORSE-95 MM","ESB 1315 10","21022167","Ekersan","Bijon","BİJON","155","218.55","https://frenciniz.com/urun/2/bijon-ror-dorse-95-mm-esb-1315-10-ekersan"
"3","renault-otomotik-fren-circiri-3717-govde-esc-79458-ekersan","RENAULT OTOMOTİK FREN CIRCIRI 3717 GÖVDE","ESC 79458","14632, 79308, 79075, 79308, 5010260115, 79308, 4W3055","Ekersan","Otomatik Fren Cırcırı","CIRCIR","25","1452","https://frenciniz.com/urun/3/renault-otomotik-fren-circiri-3717-govde-esc-79458-ekersan"
"4","otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79445-ekersan","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","ESC 79445","5010098861, 50010098861, 14634, 79295, 72799, 05010098861, 4W2925, KB2925","Ekersan","Otomatik Fren Cırcırı","CIRCIR","29","1452","https://frenciniz.com/urun/4/otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79445-ekersan"
"5","otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79444-ekersan","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","ESC 79444","5010098860, 50010098860, 14633, 79294, 72798, 05010098860, 4W2920, 4W2920, KB2920","Ekersan","Otomatik Fren Cırcırı","CIRCIR","14","1452","https://frenciniz.com/urun/5/otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79444-ekersan"
"6","disk-isuzu-25-novo-citilife-otobus-387-061-2600-51-esd-130-09-ekersan","DİSK ISUZU 25 NOVO CITILIFE OTOBÜS (387.061.2600.51)","ESD 130 09","387.061.2600.51","Ekersan","Fren Diski","DİSK","39","3243.66","https://frenciniz.com/urun/6/disk-isuzu-25-novo-citilife-otobus-387-061-2600-51-esd-130-09-ekersan"
"7","krone-430-gobekli-disk-esd-220-03-ekersan","KRONE 430 GÖBEKLİ DİSK","ESD 220 03","","Ekersan","Fren Diski","DİSK","179","4918.32","https://frenciniz.com/urun/7/krone-430-gobekli-disk-esd-220-03-ekersan"
"8","ateco-y-m-arka-disk-bijonu-esb-145-10-ekersan","ATECO Y.M. ARKA DISK BIJONU","ESB 145 10","","Ekersan","Disk Bijonu/Civatası","BİJON","1010","170.44","https://frenciniz.com/urun/8/ateco-y-m-arka-disk-bijonu-esb-145-10-ekersan"
"9","kaliper-disk-civatasi-esb-4000-12-ekersan","KALİPER DİSK CİVATASI","ESB 4000 12","31796200","Ekersan","Disk Bijonu/Civatası","BİJON","3990","73.46","https://frenciniz.com/urun/9/kaliper-disk-civatasi-esb-4000-12-ekersan"
"10","yildiz-basli-saf-y-m-disk-civatasi-esb-4000-15-ekersan","YILDIZ BAŞLI SAF Y.M. DİSK CİVATASI","ESB 4000 15","","Ekersan","Disk Bijonu/Civatası","BİJON","3368","91.74","https://frenciniz.com/urun/10/yildiz-basli-saf-y-m-disk-civatasi-esb-4000-15-ekersan"
"11","tgs-man-on-disk-bijonu-esb-242-10-ekersan","TGS Man Ön Disk Bijonu","ESB 242 10","","Ekersan","Disk Bijonu/Civatası","BİJON","400","186.93","https://frenciniz.com/urun/11/tgs-man-on-disk-bijonu-esb-242-10-ekersan"
"12","fren-diski-renault-midlum-premium-magnum-esd-040-31-ekersan","Fren Diski Renault Midlum Premium Magnum","ESD 040 31","5010598309 - 20763234","Ekersan","Fren Diski","DİSK","49","5464.8","https://frenciniz.com/urun/12/fren-diski-renault-midlum-premium-magnum-esd-040-31-ekersan"
"13","fren-diski-renault-midlum-premium-magnum-esd-040-30-ekersan","Fren Diski Renault Midlum Premium Magnum","ESD 040 30","20700508 - 5010598308","Ekersan","Fren Diski","DİSK","32","5237.1","https://frenciniz.com/urun/13/fren-diski-renault-midlum-premium-magnum-esd-040-30-ekersan"
"14","mersedes-arox-on-circir-sol-esc-80168-ekersan","MERSEDES AROX öN CIRCIR SOL","ESC 80168","","Ekersan","Fren Cırcırı","CIRCIR","45","1452","https://frenciniz.com/urun/14/mersedes-arox-on-circir-sol-esc-80168-ekersan"
"15","mersedes-arox-on-circir-sag-esc-80167-ekersan","MERSEDES AROX ÖN CIRCIR SAĞ","ESC 80167","","Ekersan","Fren Cırcırı","CIRCIR","51","1452","https://frenciniz.com/urun/15/mersedes-arox-on-circir-sag-esc-80167-ekersan"
"16","bijon-scania-arka-ozel-115-mm-esb-919-10-ekersan","BİJON SCANIA ARKA ÖZEL 115 MM","ESB 919 10","1847739","Ekersan","Bijon","BİJON","380","218.55","https://frenciniz.com/urun/16/bijon-scania-arka-ozel-115-mm-esb-919-10-ekersan"
"17","axor-actros-yeni-model-arka-120-mm-esb-185-10-ekersan","Axor-Actros Yeni Model Arka  120 mm","ESB 185 10","","Ekersan","Bijon","BİJON","460","201.82","https://frenciniz.com/urun/17/axor-actros-yeni-model-arka-120-mm-esb-185-10-ekersan"
"18","fren-kampanasi-mercedes-actros-axor-atego-esk-010-45-ekersan","Fren Kampanası Mercedes Actros Axor Atego","ESK 010 45","3014210801","Ekersan","Fren Kampanası","KAMPANA","118","5360.01","https://frenciniz.com/urun/18/fren-kampanasi-mercedes-actros-axor-atego-esk-010-45-ekersan"
"19","otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79167-ekersan","Otomatik Fren Cırcırı Renault Midlum Premium Magnum","ESC 79167","72318-44092-42795-2795-5000791212","Ekersan","Otomatik Fren Cırcırı","CIRCIR","15","1452","https://frenciniz.com/urun/19/otomatik-fren-circiri-renault-midlum-premium-magnum-esc-79167-ekersan"
"20","bijon-iveco-eurocargo-stralis-esb-670-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 670 10","42117459","Ekersan","Bijon","BİJON","560","199.31","https://frenciniz.com/urun/20/bijon-iveco-eurocargo-stralis-esb-670-10-ekersan"
"21","bijon-mitsubishi-304-arka-sol-esb-784-11-l-ekersan","BİJON MITSUBISHI 304 ARKA SOL","ESB 784 11-L","","Ekersan","Bijon","BİJON","1096","175.95","https://frenciniz.com/urun/21/bijon-mitsubishi-304-arka-sol-esb-784-11-l-ekersan"
"22","bijon-mitsubishi-304-arka-sag-esb-784-10-r-ekersan","BİJON MITSUBISHI 304 ARKA SAĞ","ESB 784 10-R","","Ekersan","Bijon","BİJON","1596","175.95","https://frenciniz.com/urun/22/bijon-mitsubishi-304-arka-sag-esb-784-10-r-ekersan"
"23","fren-kampanasi-bpw-ecoplus-esk-230-28-ekersan","Fren Kampanası BPW ECOPlus","ESK 230 28","310977340","Ekersan","Fren Kampanası","KAMPANA","12","6004.6","https://frenciniz.com/urun/23/fren-kampanasi-bpw-ecoplus-esk-230-28-ekersan"
"24","axor-disk-civatasi-yildiz-basli-esb-4000-13-ekersan","AXOR DİSK CİVATASI YILDIZ BAŞLI","ESB 4000 13","","Ekersan","Disk Bijonu/Civatası","BİJON","2486","73.46","https://frenciniz.com/urun/24/axor-disk-civatasi-yildiz-basli-esb-4000-13-ekersan"
"25","fren-kampanasi-saf-holland-esk-290-03-ekersan","Fren Kampanası SAF Holland","ESK 290 03","1064010801-1064012801","Ekersan","Fren Kampanası","KAMPANA","4","4724.32","https://frenciniz.com/urun/25/fren-kampanasi-saf-holland-esk-290-03-ekersan"
"26","ekersan-dodge-akilli-circir-sol-esc-70953-ekersan","EKERSAN DODGE AKILLI CIRCIR SOL","ESC 70953","4175020800-44015520-21229251-21222874-41120-16104-9251-96-1120-52305","Ekersan","Fren Cırcırı","CIRCIR","1","1452","https://frenciniz.com/urun/26/ekersan-dodge-akilli-circir-sol-esc-70953-ekersan"
"27","otomatik-fren-circiri-esc-72675-ekersan","Otomatik Fren Cırcırı","ESC 72675","42115-2115-72109-281090-159558","Ekersan","Otomatik Fren Cırcırı","CIRCIR","37","1452","https://frenciniz.com/urun/27/otomatik-fren-circiri-esc-72675-ekersan"
