id,name,sku,oem,category,new_image,source_product_id,source_name,source_sku,source_oem,source_image,match_score
1,Mekanik Fren Cırcırı 7 Delik 10 Kanal EUR,ESC 1760-1,517465130-517465130-517465220-100001760-24490-A3450,mekanik-fren-circiri,/img/frenciniz-generated/1_frenciniz.webp,420,Mekanik Fren Cırcırı 7 Delik 10 Kanal,ESC 1760,517465130-517465130-517465220-100001760-24490-A3450,/img/420_980981a380_320.webp,490
2,Bijon ROR Meritor 95 mm,ESB 1315 10,21022167,bijon,/img/frenciniz-generated/2_frenciniz.webp,391,Bijon ROR Meritor 85 mm,ESB 1313 10,21022167,/img/391_9b01ab5889_320.webp,278
3,Otomatik Fren Cırcırı Renault Premium Magnum Kerax Midlum,ESC 79458,"14632, 79308, 79075, 79308, 5010260115, 79308, 4W3055",otomatik-fren-circiri,/img/frenciniz-generated/3_frenciniz.webp,45,Otomatik Fren Cırcırı Renault Premium Magnum Kerax Midlum,ESC 79164,4W2230-KB2230-RV 44059-5010056686-5010056686-5000789893-6310025-6310025-	72161-14544-14607,/img/45_be77711ebb_320.webp,154
4,Otomatik Fren Cırcırı Renault Midlum Premium Magnum,ESC 79445,"5010098861, 50010098861, 14634, 79295, 72799, 05010098861, 4W2925, KB2925",otomatik-fren-circiri,/img/frenciniz-generated/4_frenciniz.webp,47,Otomatik Fren Cırcırı Renault Midlum Premium Magnum,ESC 79439,5010098832-2910-14816-42910-72741,/img/47_9d27560b0f_320.webp,142
5,Otomatik Fren Cırcırı Renault Midlum Premium Magnum,ESC 79444,"5010098860, 50010098860, 14633, 79294, 72798, 05010098860, 4W2920, 4W2920, KB2920",otomatik-fren-circiri,/img/frenciniz-generated/5_frenciniz.webp,47,Otomatik Fren Cırcırı Renault Midlum Premium Magnum,ESC 79439,5010098832-2910-14816-42910-72741,/img/47_9d27560b0f_320.webp,142
7,Fren Diski Krone Göbekli 430,ESD 220 03,,fren-diski,/img/frenciniz-generated/7_frenciniz.webp,161,Fren Diski Kögel Krone,ESD 220 02,9267086 - 6604261,/img/161_7f5347036b_320.webp,134
252,Bijon Mercedes Actros Axor 84 mm,ESB 112 20-1,3814011271-3814010071,bijon,/img/frenciniz-generated/252_frenciniz.webp,251,Bijon Mercedes Actros Axor 84 mm,ESB 113 20-1,3814011271,/img/251_dbcfdd231f_320.webp,302
282,Fren Diski Iveco Eurocargo Stralis Trakker Ön,ESD 030 25,5802234113,fren-diski,/img/frenciniz-generated/282_frenciniz.webp,215,Fren Diski Iveco Eurocargo Stralis Trakker 6 cm 14 Delik Ön 220,ESD 030 10,"7187541, 2995894, 2995702",/img/215_f01feb364c_320.webp,170
364,Bijon Dps,ESB 2032 10,,bijon,/img/frenciniz-generated/364_frenciniz.webp,377,Bijon BPW ECOPlus Dps,ESB 1722 10,329633110,/img/377_a39f2e18a4_320.webp,94
421,Porya Kapağı BPW ECOPlus,EYD 700 14-1,,porya,/img/frenciniz-generated/421_frenciniz.webp,811,Porya Kapağı EYD 700 06,EYD 700 06,,/img/811_aebb8215ca_320.webp,110
422,Süspansiyon Körüğü FT 34810 K04F,FT 34810-K04F,,suspansiyon-korugu,/img/frenciniz-generated/422_frenciniz.webp,459,Süspansiyon Körüğü FT 34881,FT 34881,,/img/459_7f00c46a8e_320.webp,42
423,Kaliper Mekanizması Bilyalı YILDIZ BAŞLI,421128-1,,kaliper-ayar-mekanizmasi,/img/frenciniz-generated/423_frenciniz.webp,1011,Kaliper Mekanizması Bilyalı,421128,,/img/1011_084c9defcb_320.webp,88
