"rank","score","priority","id","sku","name","category","group","part","price","stock","oem","compat","image","demand_group","demand_rank","url"
"1","42","sales-priority-1","1018","42313/2-300","29246 Mercedes Axor Actros On Disk Fren Balatasi 42313/2-300","Fren Balatası","balata","fren balatasi","2138.40","78","29246","Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | ROR dorse | Meritor/ROR | Gigant aks","yes","29246-mercedes-axor-actros-fren-balatasi","1","https://www.frenciniz.com/urun/1018/29246-mercedes-axor-actros-on-disk-fren-balatasi-42313-2-300-ekersan"
"2","42","sales-priority-1","735","PWR-5005","29246 Mercedes Axor Actros On Disk Fren Balatasi PWR-5005","Fren Balatası","balata","fren balatasi","2602.51","21","29246","Mercedes-Benz Axor | Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | Axor 1840 | Axor 1843","yes","29246-mercedes-axor-actros-fren-balatasi","1","https://www.frenciniz.com/urun/735/29246-mercedes-axor-actros-on-disk-fren-balatasi-pwr-5005-ekersan"
"3","43","sales-priority-1","657","42182/1-300","29087 Mercedes Axor Actros Scania Disk Fren Balatasi 42182/1-300","Fren Balatası","balata","fren balatasi","2059.20","343","29042 - 29108 - 29087 - 29106 - 29109 - 29163 - 29179 - 29201 - 29202 - 29061","Mercedes-Benz Actros/Axor | BPW dorse dingili | Scania P/G/R serisi | DAF CF/XF | Iveco Stralis","yes","29087-mercedes-axor-actros-scania-fren-balatasi","2","https://www.frenciniz.com/urun/657/29087-mercedes-axor-actros-scania-disk-fren-balatasi-42182-1-300-ekersan"
"4","42","sales-priority-1","736","PWR-5004","29087 Mercedes Axor Actros Scania Disk Fren Balatasi PWR-5004","Fren Balatası","balata","fren balatasi","2394.74","24","29087","Mercedes-Benz Axor | Mercedes-Benz Actros/Axor | BPW dorse dingili | Scania P/G/R serisi | DAF CF/XF","yes","29087-mercedes-axor-actros-scania-fren-balatasi","2","https://www.frenciniz.com/urun/736/29087-mercedes-axor-actros-scania-disk-fren-balatasi-pwr-5004-ekersan"
"5","41","sales-priority-1","658","42182/2-300","29087 Mercedes Axor Actros Scania Disk Fren Balatasi 42182/2-300","Fren Balatası","balata","fren balatasi","2534.40","14","29042 - 29108 - 29087 - 29106 - 29109 - 29163 - 29179 - 29201 - 29202 - 29061","Mercedes-Benz Actros/Axor | BPW dorse dingili | Scania P/G/R serisi | DAF CF/XF | Iveco Stralis","yes","29087-mercedes-axor-actros-scania-fren-balatasi","2","https://www.frenciniz.com/urun/658/29087-mercedes-axor-actros-scania-disk-fren-balatasi-42182-2-300-ekersan"
"6","42","sales-priority-1","720","PWR-5020","29279 MAN TGA TGS TGX Disk Fren Balatasi PWR-5020","Fren Balatası","balata","fren balatasi","2584.82","27","29279","MAN TGA | MAN TGS | MAN TGX | MAN TGA 18.430 | MAN TGA 18.460","yes","29279-man-tga-tgs-tgx-fren-balatasi","3","https://www.frenciniz.com/urun/720/29279-man-tga-tgs-tgx-disk-fren-balatasi-pwr-5020-ekersan"
"7","37","sales-priority-1","1017","42325/1-300","29279 MAN TGA TGS TGX Disk Fren Balatasi 42325/1-300","Fren Balatası","balata","fren balatasi","2059.20","16","29279","MAN TGA | MAN TGS | MAN TGX | MAN TGA 18.430 | MAN TGA 18.460","no","29279-man-tga-tgs-tgx-fren-balatasi","3","https://www.frenciniz.com/urun/1017/29279-man-tga-tgs-tgx-disk-fren-balatasi-42325-1-300-ekersan"
"8","43","sales-priority-1","1025","42232/2-290","29159 29126 SAF Dorse Disk Fren Balatasi 42232/2-290","Fren Balatası","balata","fren balatasi","1900.80","138","29159 , 29126","Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs | ROR dorse | Meritor/ROR | Gigant aks","yes","29159-29126-saf-dorse-fren-balatasi","4","https://www.frenciniz.com/urun/1025/29159-29126-saf-dorse-disk-fren-balatasi-42232-2-290-ekersan"
"9","42","sales-priority-1","731","PWR-5009","29159 29126 SAF Dorse Disk Fren Balatasi PWR-5009","Fren Balatası","balata","fren balatasi","2164.27","20","29159","SAF dorse dingili | SAF Holland treyler | Dorse / treyler | Knorr / WABCO / Meritor kaliper uygulamaları | Kamyon / tır / otobüs","yes","29159-29126-saf-dorse-fren-balatasi","4","https://www.frenciniz.com/urun/731/29159-29126-saf-dorse-disk-fren-balatasi-pwr-5009-ekersan"
"10","43","sales-priority-1","1026","42200/7-290","29165 29215 BPW Atego Dorse Disk Fren Balatasi 42200/7-290","Fren Balatası","balata","fren balatasi","1900.80","196","29165 - 29215","BPW dorse dingili | BPW treyler | BPW ECOPlus | BPW 9 ton | BPW 12 ton","yes","29165-29215-bpw-atego-dorse-fren-balatasi","5","https://www.frenciniz.com/urun/1026/29165-29215-bpw-atego-dorse-disk-fren-balatasi-42200-7-290-ekersan"
"11","42","sales-priority-1","738","PWR-5001","29165 29215 BPW Atego Dorse Disk Fren Balatasi PWR-5001","Fren Balatası","balata","fren balatasi","2151.34","54","29165","Mercedes-Benz Atego | BPW dorse dingili | BPW ECOPlus dingil | BPW treyler | Dorse / treyler","yes","29165-29215-bpw-atego-dorse-fren-balatasi","5","https://www.frenciniz.com/urun/738/29165-29215-bpw-atego-dorse-disk-fren-balatasi-pwr-5001-ekersan"
