"priority","url","reason","action"
"1","https://www.frenciniz.com/esc-80422-mercedes-arocs-fren-circiri","Bugun Google organik/referrer uzerinden ESC 80422 urun niyeti geldi; yeni landing eklendi.","Search Console URL inspection ve dizine ekleme iste"
"2","https://www.frenciniz.com/urun/86/esc-80422-mercedes-arocs-fren-circiri-sol-ekersan","Bugun 2 insan goruntuleme; stok 4, fiyat 1452 TL.","Search Console URL inspection ve dizine ekleme iste"
"3","https://www.frenciniz.com/3010097aa-esd-090-09-ford-cargo-dorse-fren-diski","Bugun ESD 090 09 / 3010097AA niyetli ziyaret geldi; yeni landing eklendi.","Search Console URL inspection ve dizine ekleme iste"
"4","https://www.frenciniz.com/urun/281/3010097aa-ford-cargo-otokar-sultan-doruk-krone-dorse-fren-diski-abs-li-arka-ekersan","Bugun 2 insan goruntuleme; stok 10, fiyat 3934.93 TL.","Search Console URL inspection ve dizine ekleme iste"
"5","https://www.frenciniz.com/ft-344183-ford-cargo-krone-kogel-suspansiyon-korugu","Bugun FT 344183 niyetli ziyaret geldi; yeni landing eklendi.","Search Console URL inspection ve dizine ekleme iste"
"6","https://www.frenciniz.com/urun/452/ford-cargo-krone-dorse-kogel-dorse-suspansiyon-korugu-ft-344183-ekersan","Bugun 2 insan goruntuleme; stok 25, fiyat 1518 TL.","Search Console URL inspection ve dizine ekleme iste"
"7","https://www.frenciniz.com/2992636-esd-030-17-ford-cargo-fren-diski","Bugun ESD 030 17 sayfasi sicak yollar arasinda.","Search Console URL inspection ve dizine ekleme iste"
"8","https://www.frenciniz.com/29328-pwr-5027-ford-cargo-krone-kogel-dorse-balata","Bugun PWR-5027 sayfasi sicak yollar arasinda.","Search Console URL inspection ve dizine ekleme iste"
"9","https://www.frenciniz.com/esd-110-01-2-ford-cargo-krone-kogel-dorse-fren-diski","Bugun ESD 110 01-2 sayfasi sicak yollar arasinda.","Search Console URL inspection ve dizine ekleme iste"
"10","https://www.frenciniz.com/pwr-5009-29159-29126-saf-dorse-fren-balatasi","Bugun PWR-5009 / 29159 29126 sayfasi sicak yollar arasinda.","Search Console URL inspection ve dizine ekleme iste"
"11","https://www.frenciniz.com/9433340945-mercedes-axor-on-porya","AdsBot kontrol etti; Merchant/Ads taramasi icin landing eklendi.","Search Console URL inspection ve dizine ekleme iste"
